# night ext_offset mean_airmass num_stds diff_airmass std_weight
04_242 -0.0346872365103188 1.695289969444275 1 0.0 0.0
04_245 0.02045333372472591 1.0518699884414673 1 0.0 0.0
04_247 -0.020805930576122122 2.696310043334961 1 0.0 0.0
04_250 0.03269678103290907 1.2662299871444702 1 0.0 0.0
04_257 -0.028589267013233055 1.1246060371398925 5 0.19279003 0.30381596
04_260 -0.023489889330448932 1.0307166576385498 3 0.016959906 0.021726608
04_267 0.02449394178599995 1.5407700538635254 2 1.03428 1.03428
04_270 0.04484007772486365 1.737820029258728 1 0.0 0.0
04_277 -0.0010040524555527952 1.4795399904251099 1 0.0 0.0
04_279 -0.03720903845783674 1.1104759216308593 5 0.27690005 0.522136
04_290 0.0003169289600108982 1.1396699746449788 3 0.34624004 0.43104005
04_292 -0.003878607726182537 1.1586824655532837 4 0.40532005 0.52551496
04_297 -0.006235842896753496 1.0782400369644165 1 0.0 0.0
04_310 0.009516605721184845 1.1088874340057373 8 0.25414002 0.61731994
04_312 -0.01813233787558488 1.3210599899291993 5 0.74011004 1.20418
04_313 -0.10899099941631363 1.1465200185775757 2 0.022459984 0.022459984
04_315 0.10899099941631363 1.4805350303649902 2 0.35099006 0.35099006
04_317 0.014807406005346024 1.265950043996175 3 0.56373 0.68026006
04_319 0.05634477999832477 1.1874799728393555 2 0.16561997 0.16561997
04_325 -0.006935114573936474 1.3872365951538086 3 0.39304996 0.4163134
04_327 0.016134315985777192 1.4913066228230794 3 0.7757801 0.89208674
04_332 0.002707006772574516 1.2506862878799438 8 0.79085004 1.6588227
04_335 -0.007639309437516673 1.2669566472371419 6 0.72746 1.0551269
04_338 -0.025171300992436585 1.2040050029754639 2 0.17721009 0.17721009
04_345 -0.036804083256566145 1.1504166920979817 3 0.19048 0.1996932
04_347 0.5464846059848956 1.167080044746399 1 0.0 0.0
04_360 -0.0032692331837722577 1.2346349954605103 4 0.37840998 0.55069995
04_365 -0.5648945515848407 1.1206650733947754 2 0.13716996 0.13716996
05_006 0.9213783681085115 1.1871000130971272 3 0.22223997 0.25008
05_016 0.060847750395844 1.2452950477600098 2 0.37721002 0.37721002
05_039 -0.060847750395844 1.1963899930318196 3 0.2102499 0.21477997
05_041 -0.03867155384527621 1.2822883129119873 6 0.70440006 1.3295667
05_049 0.14607630799744342 1.1130166053771973 3 0.09186995 0.10465336
05_099 0.0003898923943150834 1.1374399662017822 1 0.0 0.0
05_104 -0.02743000843151755 1.2176666259765625 3 0.30026996 0.39344656
05_116 0.04997890601991806 1.3068866729736328 6 0.23327994 0.40215325
05_119 0.05292805165087344 1.0810225009918213 4 0.06349993 0.091594934
05_124 0.003421585955573292 1.1412350336710613 6 0.42706 0.69595003
05_125 0.0017855821572663189 1.234475016593933 4 0.3936 0.5531
05_126 0.027718570283573385 1.1555366516113281 3 0.25950992 0.3298266
05_129 0.0030508551562231645 1.384950041770935 1 0.0 0.0
05_132 -0.0175104356520297 1.1335240364074708 5 0.019119978 0.03168404
05_134 0.03069691571167077 1.0891799926757812 5 0.13453996 0.21289992
05_136 0.000910287832649459 1.0947833061218262 6 0.11504996 0.23340654
05_139 -0.000910287832649459 1.2463200092315674 8 0.82567 1.6557001
05_141 -0.014083845146666718 1.2351985658918108 7 0.46175003 0.9734459
05_144 -0.008254711295821338 1.2153362035751343 8 0.6243999 1.2398347
05_146 -0.016194734222201745 1.3010025024414062 4 0.36751997 0.65623
05_149 -0.0008936127937584359 1.4174774885177612 4 1.30183 1.8927251
05_151 -0.026298184502579147 1.1005821228027344 9 0.11923003 0.28640223
