name              dmb     dmb_err   zcmb      c       c_err   x1      x1_err   lmass   lmass_up   lmass_low   lsfr    lsfr_up   lsfr_low   lssfr   lssfr_up   lssfr_low   gmass   gmass_up   gmass_low   p_young   p_highmass   notes
SNF20050624-000   -0.23   0.13      0.0671    -0.07   0.03    +0.20   0.55     7.33    +0.38      -0.51       -4.74   +0.50     -0.60      -12.0   +0.7       -0.7        10.73   +0.10      -0.10       4.        100.         --
SNF20050728-000   -0.19   0.13      0.0419    -0.03   0.03    +0.77   0.24     8.00    +0.11      -0.11       -2.39   +0.01     -0.01      -10.4   +0.1       -0.1        8.53    +0.10      -0.10       100       0            --
SNF20050728-006   -0.03   0.12      0.0581    +0.09   0.03    +0.19   0.24     7.83    +0.21      -0.22       -3.14   +0.06     -0.06      -11.0   +0.2       -0.2        10.00   +0.10      -0.10       25        50           --
SNF20050821-007   -0.06   0.13      0.0582    -0.05   0.03    +0.11   0.32     7.84    +0.14      -0.14       -2.46   +0.02     -0.02      -10.3   +0.1       -0.1        8.92    +0.10      -0.10       99        0            --
SNF20050829-003   +0.22   0.14      0.0440    +0.03   0.04    -1.44   0.37     7.61    +0.21      -0.20       -3.07   +0.06     -0.06      -10.7   +0.2       -0.2        9.90    +0.10      -0.10       72        14           --
SNF20050927-005   +0.25   0.13      0.0396    +0.02   0.03    +0.67   0.28     8.50    +0.10      -0.10       -1.75   +0.01     -0.01      -10.2   +0.1       -0.1        9.42    +0.10      -0.10       100       0            --
SNF20051003-004   +0.05   0.13      0.0337    -0.09   0.03    +1.06   0.15     8.65    +0.10      -0.10       -1.88   +0.01     -0.01      -10.5   +0.1       -0.1        9.14    +0.10      -0.10       99        0            --
SNF20060511-014   -0.07   0.14      0.0467    -0.03   0.03    -0.65   0.17     7.55    +0.25      -0.27       -3.20   +0.10     -0.13      -10.8   +0.3       -0.3        10.20   +0.10      -0.10       59        97           --
SNF20060512-001   -0.06   0.13      0.0389    +0.02   0.03    +0.71   0.13     8.73    +0.10      -0.10       -1.68   +0.01     -0.01      -10.4   +0.1       -0.1        9.32    +0.10      -0.10       100       0            --
SNF20060512-002   -0.45   0.12      0.0509    +0.05   0.03    -0.92   0.19     9.80    +0.10      -0.10       -2.00   +0.01     -0.01      -11.8   +0.1       -0.1        10.72   +0.10      -0.10       0         100          --
SNF20060521-001   -0.03   0.13      0.0679    -0.05   0.03    -1.15   0.23     9.22    +0.10      -0.10       -4.14   +0.44     -0.77      -13.4   +0.5       -0.7        9.88    +0.10      -0.10       0         10           --
SNF20060521-008   -0.27   0.14      0.0562    +0.09   0.03    -1.36   0.20     7.41    +0.25      -0.27       -3.49   +0.13     -0.22      -10.9   +0.3       -0.4        11.05   +0.10      -0.10       37        100          --
SNF20060526-003   +0.01   0.12      0.0788    -0.03   0.03    +0.30   0.14     7.29    +0.33      -0.42       -3.08   +0.07     -0.09      -10.4   +0.4       -0.3        10.52   +0.10      -0.10       90        100          --
SNF20060530-003   -0.04   0.12      0.0572    -0.05   0.03    +1.06   0.16     7.96    +0.13      -0.12       -2.28   +0.01     -0.01      -10.2   +0.1       -0.1        10.14   +0.10      -0.10       100       91           --
SNF20060609-002   -0.07   0.13      0.0399    +0.20   0.03    +0.06   0.13     9.05    +0.10      -0.10       -1.74   +0.01     -0.01      -10.8   +0.1       -0.1        10.47   +0.10      -0.10       59        100          --
SNF20060618-014   +0.04   0.12      0.0645    -0.02   0.03    +0.97   0.16     8.04    +0.13      -0.12       -2.47   +0.02     -0.02      -10.5   +0.1       -0.1        8.79    +0.11      -0.10       99        0            --
SNF20060621-012   +0.29   0.12      0.0618    -0.10   0.03    -1.03   0.18     8.35    +0.12      -0.11       -2.39   +0.01     -0.01      -10.7   +0.1       -0.1        9.19    +0.10      -0.10       77        0            --
SNF20060621-015   -0.02   0.12      0.0544    -0.09   0.03    +0.51   0.20     7.58    +0.13      -0.13       -2.12   +0.01     -0.01      -9.7    +0.1       -0.1        9.22    +0.10      -0.10       100       0            --
SNF20060624-019   -0.24   0.12      0.0741    +0.43   0.03    +0.88   0.19     8.58    +0.12      -0.11       -2.31   +0.02     -0.02      -10.9   +0.1       -0.1        10.27   +0.10      -0.10       27        99           --
SNF20060907-000   +0.12   0.12      0.0564    -0.13   0.03    +0.08   0.16     9.12    +0.10      -0.10       -1.37   +0.01     -0.01      -10.5   +0.1       -0.1        9.64    +0.10      -0.10       99        0            --
SNF20060912-000   -0.28   0.12      0.0723    +0.10   0.03    +0.27   0.20     8.09    +0.13      -0.14       -2.26   +0.01     -0.01      -10.3   +0.1       -0.1        10.69   +0.10      -0.10       99        100          --
SNF20060912-004   -0.04   0.12      0.0769    -0.04   0.03    +0.21   0.37     7.85    +0.16      -0.17       -2.84   +0.04     -0.04      -10.7   +0.2       -0.2        10.79   +0.10      -0.10       77        100          --
SNF20060916-002   +0.15   0.13      0.0716    -0.06   0.03    +1.49   0.25     7.82    +0.15      -0.14       -2.93   +0.03     -0.03      -10.8   +0.1       -0.1        8.95    +0.10      -0.10       67        0            --
SNF20061011-005   +0.06   0.16      0.0226    -0.14   0.03    +0.72   0.21     7.69    +0.10      -0.10       -2.62   +0.01     -0.01      -10.3   +0.1       -0.1        8.61    +0.10      -0.10       100       0            --
SNF20061020-000   -0.05   0.13      0.0379    +0.00   0.03    -1.74   0.17     8.45    +0.10      -0.10       -4.63   +0.33     -0.49      -13.1   +0.3       -0.5        10.19   +0.10      -0.10       0         97           --
SNF20061021-003   -0.06   0.12      0.0615    +0.05   0.03    +0.27   0.17     8.42    +0.12      -0.12       -3.56   +0.14     -0.22      -12.0   +0.2       -0.2        11.07   +0.10      -0.10       0         100          --
SNF20061022-005   -0.09   0.12      0.0779    +0.06   0.03    +1.15   0.29     8.74    +0.11      -0.12       -2.21   +0.01     -0.01      -10.9   +0.1       -0.1        10.35   +0.10      -0.10       12        100          --
SNF20061022-014   -0.29   0.14      0.0398    +0.56   0.03    -2.18   0.33     8.98    +0.10      -0.10       -2.42   +0.01     -0.01      -11.4   +0.1       -0.1        10.67   +0.10      -0.10       0         100          --
SNF20061024-000   +0.17   0.12      0.0559    -0.03   0.03    -0.90   0.12     8.20    +0.13      -0.13       -3.58   +0.15     -0.25      -11.8   +0.2       -0.3        10.63   +0.10      -0.10       0         100          --
SNF20061030-010   +0.03   0.14      0.0278    +0.13   0.03    +0.26   0.21     8.77    +0.10      -0.10       -1.60   +0.01     -0.01      -10.4   +0.1       -0.1        9.50    +0.10      -0.10       100       0            --
SNF20061111-002   +0.06   0.12      0.0677    -0.01   0.03    +0.37   0.20     7.35    +0.32      -0.42       -2.51   +0.02     -0.02      -9.8    +0.4       -0.3        8.87    +0.10      -0.11       99        0            --
SNF20070330-024   -0.23   0.12      0.0417    -0.09   0.03    +0.46   0.18     8.82    +0.10      -0.10       -2.75   +0.03     -0.04      -11.6   +0.1       -0.1        11.02   +0.10      -0.10       0         100          --
SNF20070331-014   -0.04   0.12      0.0680    -0.00   0.03    -0.66   0.16     7.08    +0.34      -0.41       -3.79   +0.30     -0.50      -10.9   +0.5       -0.6        11.10   +0.10      -0.10       43        100          --
