name lmass lmass_up lmass_low lsfr lsfr_up lsfr_low lssfr lssfr_up lssfr_low gmass gmass_up gmass_low p(delayed) p(highgmass)
CSS110918_01 6.141 0.416 0.525 -3.912 0.230 0.429 -9.747 0.525 0.407 5.000 nan nan 0.258 0.000 
CSS110918_02 7.080 0.190 0.187 -4.435 0.535 1.215 -11.377 0.477 1.813 10.516 0.097 0.100 0.965 1.000 
CSS120424_01 6.890 0.185 0.211 -3.612 0.113 0.144 -10.531 0.235 0.251 10.164 0.098 0.103 0.417 0.947 
CSS130502_01 7.009 0.209 0.201 -3.298 0.065 0.078 -10.294 0.213 0.228 8.996 0.099 0.098 0.015 0.000 
LSQ12ekl 7.434 0.206 0.199 -2.170 0.014 0.014 -9.606 0.199 0.208 9.453 0.101 0.101 0.000 0.000 
LSQ12fmx 6.855 0.313 0.369 -3.291 0.164 0.238 -10.184 0.447 0.424 10.316 0.097 0.099 0.162 0.999 
LSQ13vy 7.839 0.120 0.129 -2.884 0.029 0.030 -10.716 0.130 0.122 10.262 0.099 0.101 0.264 0.996 
PTF09dlc 7.257 0.163 0.172 -3.042 0.047 0.055 -10.313 0.183 0.168 8.717 0.106 0.105 0.002 0.000 
PTF09dnl 7.630 0.110 0.107 -2.870 0.014 0.014 -10.500 0.112 0.109 8.032 0.105 0.104 0.004 0.000 
PTF09dnp 7.506 0.145 0.168 -4.612 0.374 0.571 -12.049 0.421 0.578 10.620 0.100 0.100 1.000 1.000 
PTF09foz 8.705 0.096 0.100 -4.652 0.442 0.588 -13.438 0.463 0.595 10.316 0.098 0.100 1.000 0.999 
PTF10hmv 7.966 0.101 0.106 -2.645 0.017 0.017 -10.611 0.110 0.098 8.177 0.100 0.101 0.040 0.000 
PTF10mwb 7.993 0.105 0.103 -3.098 0.028 0.030 -11.079 0.104 0.110 8.701 0.102 0.101 0.993 0.000 
PTF10ops 6.231 0.414 0.569 -3.552 0.156 0.264 -9.832 0.594 0.513 5.000 nan nan 0.285 0.000 
PTF10qjl 7.517 0.129 0.124 -2.059 0.014 0.013 -9.574 0.123 0.133 8.776 0.104 0.100 0.000 0.000 
PTF10qjq 8.987 0.099 0.104 -1.208 0.002 0.002 -10.195 0.102 0.099 9.820 0.099 0.098 0.000 0.039 
PTF10qyz 6.408 0.396 0.570 -3.726 0.225 0.381 -10.078 0.605 0.479 5.000 nan nan 0.244 0.000 
PTF10tce 7.644 0.135 0.153 -3.815 0.332 0.550 -11.698 0.526 0.513 10.037 0.099 0.099 0.982 0.643 
PTF10ufj 6.593 0.359 0.506 -3.496 0.168 0.268 -10.129 0.540 0.449 5.000 nan nan 0.314 0.000 
PTF10wnm 8.168 0.119 0.117 -2.532 0.029 0.031 -10.712 0.122 0.117 10.060 0.100 0.101 0.236 0.725 
PTF10wof 7.811 0.122 0.124 -2.870 0.050 0.054 -10.656 0.122 0.137 9.634 0.099 0.098 0.150 0.000 
PTF10xyt 8.766 0.102 0.099 -1.837 0.006 0.006 -10.602 0.099 0.102 9.175 0.102 0.101 0.030 0.000 
PTF10zdk 8.430 0.100 0.097 -2.091 0.006 0.006 -10.518 0.097 0.101 9.297 0.098 0.103 0.004 0.000 
PTF11bgv 7.344 0.131 0.129 -2.690 0.022 0.022 -10.037 0.128 0.132 8.723 0.100 0.101 0.000 0.000 
PTF11bnx 7.601 0.115 0.118 -1.859 0.006 0.007 -9.462 0.119 0.115 8.455 0.103 0.101 0.000 0.000 
PTF11cao 7.867 0.118 0.118 -2.689 0.028 0.030 -10.565 0.124 0.116 9.445 0.102 0.099 0.027 0.000 
PTF11drz 8.929 0.106 0.100 -2.151 0.012 0.013 -11.076 0.100 0.108 9.380 0.098 0.102 0.995 0.000 
PTF11mty 9.153 0.105 0.100 -0.892 0.002 0.002 -10.045 0.100 0.105 9.799 0.101 0.098 0.000 0.024 
PTF11pbp 8.071 0.113 0.107 -3.098 0.029 0.032 -11.156 0.113 0.112 10.909 0.098 0.101 0.999 1.000 
PTF12dxm 7.610 0.184 0.207 -3.959 0.259 0.443 -11.694 0.331 0.419 11.132 0.100 0.099 1.000 1.000 
PTF12eer 8.744 0.096 0.103 -1.879 0.006 0.006 -10.625 0.105 0.095 10.055 0.098 0.100 0.041 0.708 
PTF12evo 7.260 0.220 0.214 -3.949 0.256 0.481 -11.272 0.381 0.524 9.770 0.100 0.099 0.893 0.012 
PTF12fuu 7.004 0.212 0.221 -3.089 0.054 0.063 -10.105 0.226 0.213 6.628 0.124 0.127 0.028 0.000 
PTF12ghy 8.173 0.106 0.111 -4.307 0.332 0.529 -12.712 0.374 0.427 7.064 0.097 0.099 1.000 0.000 
PTF12grk 7.931 0.155 0.150 -2.496 0.018 0.018 -10.419 0.149 0.153 8.026 0.121 0.121 0.005 0.000 
PTF12iiq 8.762 0.103 0.097 -4.127 0.242 0.411 -12.913 0.199 0.332 10.627 0.099 0.099 1.000 1.000 
PTF12ikt 7.350 0.166 0.159 -2.594 0.024 0.024 -9.942 0.160 0.169 10.351 0.102 0.098 0.000 1.000 
PTF12jqh 8.165 0.116 0.106 -2.278 0.017 0.018 -10.444 0.106 0.117 10.000 0.100 0.100 0.000 0.501 
PTF13anh 7.851 0.132 0.127 -2.592 0.017 0.019 -10.445 0.134 0.130 8.390 0.111 0.115 0.003 0.000 
PTF13asv 7.011 0.139 0.153 -3.713 0.117 0.144 -10.730 0.187 0.193 7.590 0.111 0.107 0.998 0.000 
PTF13ayw 8.878 0.103 0.103 -4.132 0.398 0.629 -13.073 0.432 0.593 11.085 0.099 0.098 1.000 1.000 
PTF13azs 8.576 0.103 0.111 -3.020 0.030 0.032 -11.594 0.113 0.107 9.012 0.097 0.101 1.000 0.000 
SN2004ef 8.510 0.098 0.106 -2.898 0.017 0.018 -11.409 0.108 0.099 10.748 0.099 0.100 1.000 1.000 
SN2005hc 8.273 0.110 0.109 -2.864 0.045 0.052 -11.150 0.120 0.117 10.662 0.099 0.099 0.999 1.000 
SN2005hj 8.466 0.108 0.101 -2.063 0.011 0.010 -10.530 0.102 0.107 9.584 0.102 0.099 0.007 0.000 
SN2005ir 8.410 0.105 0.105 -1.754 0.005 0.005 -10.165 0.107 0.103 10.177 0.098 0.101 0.000 0.959 
SN2006cj 8.027 0.129 0.126 -2.902 0.043 0.047 -10.907 0.130 0.130 10.409 0.099 0.100 0.786 1.000 
SN2006dm 8.169 0.109 0.109 -4.078 0.225 0.367 -12.183 0.197 0.328 10.932 0.100 0.101 1.000 1.000 
SN2006ob 8.834 0.110 0.105 -3.923 0.266 0.450 -12.682 0.215 0.349 11.330 0.100 0.095 1.000 1.000 
SN2007bc 7.726 0.118 0.117 -5.781 1.149 1.413 -13.545 0.875 1.672 10.859 0.100 0.098 1.000 1.000 
SN2007bd 8.670 0.099 0.105 -2.251 0.007 0.008 -10.919 0.104 0.101 10.743 0.102 0.099 0.866 1.000 
SN2007cq 8.075 0.104 0.106 -2.793 0.033 0.033 -10.876 0.109 0.107 9.673 0.100 0.101 0.750 0.001 
