name,uNi_pre,uNi_pre_err,uSi_pre,uSi_pre_err,uCa_pre,uCa_pre_err,uTi_pre,uTi_pre_err,uNi_max,uNi_max_err,uSi_max,uSi_max_err,uCa_max,uCa_max_err,uTi_max,uTi_max_err,uNi_post,uNi_post_err,uSi_post,uSi_post_err,uCa_post,uCa_post_err,uTi_post,uTi_post_err,Ca_HVF
SNF20050728-006,1.76,0.04,3.41,0.04,2.53,0.03,1.97,0.04,2.04,0.05,3.38,0.06,2.77,0.04,1.92,0.04,2.62,0.04,3.16,0.03,3.00,0.03,2.12,0.03,Y
SNF20050821-007,2.00,0.04,3.51,0.04,2.29,0.03,2.28,0.04,2.32,0.04,3.73,0.04,2.50,0.03,2.24,0.04,2.61,0.04,3.96,0.04,2.70,0.03,2.47,0.04,Y
SNF20051003-004,1.57,0.04,2.57,0.03,2.44,0.02,1.96,0.03,,,,,,,,,2.65,0.04,2.79,0.03,2.90,0.02,2.15,0.03,
SNF20060512-001,1.94,0.04,2.71,0.03,2.23,0.02,1.76,0.03,2.25,0.04,2.76,0.03,2.42,0.02,1.78,0.03,2.66,0.04,2.97,0.03,2.67,0.02,2.01,0.03,Y
SNF20060526-003,1.75,0.04,3.03,0.04,2.46,0.03,2.09,0.04,2.14,0.04,3.04,0.03,2.71,0.03,2.01,0.03,,,,,,,,,Y
SNF20060609-002,,,,,,,,,1.77,0.04,2.69,0.03,2.72,0.03,1.89,0.03,2.35,0.04,2.73,0.03,2.90,0.03,2.09,0.03,
SNF20060618-023,1.32,0.05,2.41,0.05,2.15,0.04,1.45,0.04,,,,,,,,,2.48,0.05,2.76,0.04,2.76,0.04,1.99,0.04,
SNF20060621-015,1.88,0.04,3.02,0.03,2.57,0.02,1.91,0.03,2.21,0.04,3.00,0.03,2.82,0.02,1.95,0.03,2.82,0.04,2.96,0.03,3.05,0.03,2.24,0.03,N
SNF20060907-000,,,,,,,,,2.24,0.04,3.00,0.03,2.88,0.02,2.00,0.03,2.98,0.04,3.07,0.03,3.13,0.03,2.38,0.03,
SNF20060916-002,1.59,0.04,2.87,0.03,2.46,0.03,2.00,0.03,,,,,,,,,2.54,0.04,2.89,0.03,2.90,0.03,2.17,0.03,N
SNF20061011-005,,,,,,,,,,,,,,,,,,,,,,,,,Y
SNF20061021-003,1.67,0.04,3.19,0.03,2.66,0.03,1.90,0.03,2.05,0.04,3.20,0.03,2.94,0.03,1.92,0.03,,,,,,,,,N
SNF20070330-024,1.93,0.04,3.20,0.04,2.35,0.03,2.36,0.04,2.26,0.04,3.34,0.03,2.77,0.03,2.16,0.03,2.67,0.04,3.15,0.03,2.79,0.02,2.21,0.03,
SNF20070420-001,1.67,0.05,3.30,0.06,2.42,0.04,2.33,0.05,,,,,,,,,2.82,0.06,3.21,0.05,2.90,0.04,2.24,0.04,
SNF20070424-003,1.86,0.04,3.42,0.04,2.52,0.03,2.09,0.03,2.23,0.05,3.23,0.05,2.80,0.04,2.06,0.04,2.84,0.06,3.04,0.04,2.95,0.04,2.34,0.04,Y
SNF20070506-006,1.92,0.04,2.79,0.03,2.26,0.02,1.82,0.03,2.11,0.04,2.88,0.03,2.47,0.02,1.85,0.03,2.62,0.04,3.15,0.03,2.74,0.02,2.10,0.03,
