name, kind, reference
SNF20070528-003, 91T-like, Scalzo2014
SNF20070803-005, 91T-like, Scalzo2014
SNF20070825-001, 91T-like, Scalzo2010
SNF20070912-000, 91T-like, Scalzo2014
SNF20080522-000, 91T-like, Scalzo2014
SNF20080723-012, 91T-like, Scalzo2014
SNF20080805-007, 91T-like, Lin2020
LSQ12cyz, 91T-like, Lin2020
LSQ12fhe, 91T-like, Lin2020
PTF11bju, 91T-like, Lin2020
PTF11mkx, 91T-like, Lin2020
SNNGC2691, 91T-like, Boone2020

LSQ12cfx, 91bg-like, Lin2020
PTF10ops, 91bg-like, Maguire2011
PTF11bkf, 91bg-like, Lin2020
PTF11kjn, 91bg-like, Lin2020
PTF11okh, 91bg-like, Lin2020
PTF11pra, 91bg-like, Lin2020
PTF12dwm, 91bg-like, Lin2020
SN2005bl, 91bg-like, Lin2020
SN2005dh, 91bg-like, Lin2020 
SN2005dm, 91bg-like, Lin2020
SN2007ba, 91bg-like, Lin2020
SN2009hs, 91bg-like, Lin2020
SNNGC6430, 91bg-like, Lin2020

SN2005cc, 02cx-like, Lin2020
SN2011ay, 02cx-like, Foley2013
LSQ12fhs, 02cx-like, Foley2013
